Authors,Headline,Time,Live,All_text,Category
Jens Ringgård Christiansen,Sommervejr med meget sol – men her truer regnbyger,2023-08-16T05:10:53.980Z,0,"['Lokalt vil der falde byger, men bygerne er få og ret lette.', 'Efter en meget lun tirsdag, hvor temperaturen nåede op over 28 grader, bliver onsdagen lidt køligere, men også mere behagelig.', 'De fleste vil opleve helt tørt vejr, men særligt i den nordlige halvdel af Jylland kan der også optræde nogle regnbyger.', 'Modsat tirsdagens byger vil bygerne være få, ret lette og kortvarige. ', 'Dog har Bornholm onsdag morgen endnu nogle lidt kraftigere byger.', 'Du kan her følge dagens byger på radar.', 'Temperaturerne når op mellem 17 og 22 grader i Jylland og mellem 20 og 24 grader på øerne.', 'Øerne får mest sol, mens der er længere perioder med skyer i dele af Jylland.', 'This is a modal window.', 'Beginning of dialog window. Escape will cancel and close the window.', 'End of dialog window.', '', '', 'This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.', 'Årsagen til de flere skyer i den nordlige halvdel af Jylland er et lavtryk lige nord for Danmark.', 'Dette lavtryk forårsager også op til frisk vind ved vestvendte kyster i Nordjylland.', 'I de øvrige landsdele er vinden mere rolig.']",Vejr
Jeppe Lykke Hansen,Fiskesøer gør klar til varmere klima med ny type fisk,2023-08-15T18:52:01.787Z,0,"['Vejrskifte i danske put-and-take-søer – går fra regnbue- til solskinsfisk\n', 'Det varmere klima kommer til at give udfordringer for de danske fiskesøer, hvor regnbueørreden tidligere har været den foretrukne fisk. Den bryder sig bare ikke meget om varme, der gør den inaktiv. Det fortæller Peter Tanev fra TV 2 Vejret.', 'Derfor kigger ejerne af de danske put-and-take-anlæg sig om efter den klassiske ørreds afløser, og et muligt bud er solskinsbars som man blandt andet er begyndt at eksperimentere med i Drive In Put & Take i Lynge på Sjælland, hvor Peter Tanev er kørt ud med vejrbilen.', 'Solskinsbarsen har nemlig den fordel, at den er ligeglad med varmen og det lavere iltindhold i vandet, hvor regnbueørreden bliver sværere at fange om sommeren.', '- Den egner sig rigtig godt til udsætning i varme egne. Man har brugt den meget i Texas og Louisiana, men vi er også begyndt at se den i Europa i dampbrugsbranchen, og nu kan man altså også købe den til put-and-take-søerne, siger biolog Henrik Carl.', 'På den måde kan man sige, at de nye fisketyper kommer som et modsvar på klimaforandringerne.', '- Jo varmere det bliver, jo dårligere trives de regnbuerørreder, vi traditionelt har fisket efter. Og så vil man have et alternativ, fordi især om sommeren når alle gerne vil ud at fiske, så er det tit for varmt til regnbuerørrederne, siger Henrik Carl.', 'Derudover er solskinsbarsen også en fighter i modsætning til de sommerdvaske regnbueørreder.', '- Det er en rigtig stærk fisk. Det er derfor, at man oprindeligt begyndte at sætte den ud i Nordamerika som sportsfisk. Det er jo fordi, det er en rigtig, rigtig fin sportsfisk, siger Henrik Carl.', 'Den varmebestandige fisk er en amerikansk krydsning af hvid bars og stribet bars. Barsen har sorte striber ned langs siden og er en fortrinlige spisefisk.', 'Fisken er steril, så den kan ikke brede sig i naturen. ', 'I Danmark udsættes solskinbarsen i størrelsen omkring et kilo, og fiskearten er endnu så ny, at vi her har de vildeste rekorder til gode, men i USA hvor fisken har været brugt i mange år, er der fanget eksemplarer på næsten 11 kg.']",Vejr
Jens Ringgård Christiansen,Prognoser viser meget solskin i vente,2023-08-15T10:13:05.135Z,0,"['De næste dage byder på mere sol, men kortvarigt mindre varme.  ', 'Mens tirdagen byder på både varme og hidsige tordenbyger, så venter meget mere stabilt vejr fra onsdag. ', 'Den kommende uges tid står på meget sol bortset fra lørdag, hvor en front skal passere med regn og torden.', 'Tirsdagens ustadige vejr vil stort set have forladt Danmark onsdag, hvor der kun vil optræde få forholdsvis lette lokale byger.', 'Det er dog også lidt køligere luft, som er trængt ind over Danmark, så temperaturen når kun op mellem 18 og 23 grader i eftermiddagstimerne.', 'Alligevel vil de fleste nyde vejret mere, da solen vil dominere, og vinden bliver forholdsvis svag.', 'Torsdag og fredag kan byde på endnu mere sol, og her holder det måske helt tørt.', 'Lørdag ventes en front fra vest at skulle ankomme til Danmark. Lørdagen begynder med sol og vejr, som minder om de foregående dage, men senere vil regn og torden ankomme.', 'Timingen og styrken af fronten er stadig usikker, og måske får øerne smukt solrigt vejr det meste af dagen.', 'Efter lørdagens front har passeret, vil lunere luft strømme op til Danmark fra sydvest. Vi kan atter få meteorologiske sommerdage med temperaturer op over 25 grader.', 'Bortset fra det korte intermezzo mandag og tirsdag med over 25 grader, så ligger den seneste meteorologiske sommerdag helt tilbage til 16. juli. ', 'Det kommende sommervejr – og fra søndag også sommervarme – er kærkommen for de fleste danskere. Det kan få mange tilbage på strandene.']",Vejr
Jens Ringgård Christiansen,Lun tirsdag med risiko for lokale skybrud,2023-08-15T05:51:15.495Z,0,"['Termometrene når over 25 grader, men bygerne kan være med både torden og hagl.', 'Mandag fik vi for første gang i næsten en måned temperaturen op over 25 grader, og den varme luft er stadig placeret over Danmark.', 'Temperaturen når tirsdag op mellem 23 og 27 grader i Østjylland og til øerne, mens Vestjylland får 20 til 23 grader.', 'Der kommer længere perioder med sol til hele landet, men der kan også falde byger i alle landsdele.', 'I løbet af dagen kommer der stedvise byger.', 'This is a modal window.', 'Beginning of dialog window. Escape will cancel and close the window.', 'End of dialog window.', '', '', 'This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.', 'Dagens kraftigste byger dannes tildels over Tyskland og løber mod nordøst. Derfor vil flere af de kraftigste byger ramme Sydøstdanmark. ', 'De kraftigste byger vil være ledsaget af torden - og stedvis måske også hagl og/eller skybrud. ', 'Bornholm har størst risiko for skybrud, og TV 2 Vejret har varslet risiko for skybrud på Bornholm mellem klokken 9-22. ', 'Skybrud i andre landsdele kan ikke udelukkes, men sandsynligheden er størst på Bornholm.', 'Du kan følge dagens byger på radar her.', 'Denne artikel er opdateret med seneste prognose af bygernes færden. ']",Vejr
Sebastian Pelt,Kraftige regn- og tordenbyger kan ramme tirsdag,2023-08-14T16:33:32.711Z,0,"['Allerede natten til tirsdag er der risiko for tordenbyger i dele af landet.', 'Selvom sommervarmen endelig har fundet vej til Danmark, så skal paraplyerne ikke pakkes for langt væk.', 'Nok er luftmassen, der blæser op over Danmark, varm, men den er også fugtig og relativt ustabil.', 'Den kombination giver mulighed for kraftige byger, der allerede kan dannes i nattetimerne.', 'Mandag ved middagstid er der fortsat relativ stor usikkerhed modellerne imellem, men der tegner sig et overordnet billede af en vejrsituation, der kan byde på kraftige byger det næste døgn.', 'Allerede i nattetimerne kan kraftige byger fra Tyskland drive op over de syd- og østlige egne, men præcis hvilket tidspunkt – og over hvilket område – de rammer, er usikkert.', 'I formiddagstimerne tirsdag kan der af flere omgange dukke kraftige byger op fra syd. De mest udsatte steder er Fyn, Lolland-Falster og Sjælland, men måske kan eftermiddagen også byde på kraftige byger i Nordjylland.', 'Endelig kan der nok engang komme kraftige byger sent tirsdag aften og natten til onsdag. Her er risikoen størst over Bornholm.', 'Bygerne kan sagtens være med skybrud, ligesom der kan være talrige lyn forbundet med de kraftigste byger.', 'Desuden er der risiko for hagl på op nær to centimeter i diameter, og vindstødene kan nå kulingstyrke i forbindelse med nogle af bygerne.', 'Skybrud er defineret som over 15 millimeter regn på mindst en halv time.']",Vejr
Jeppe Lykke Hansen,Varmen bider sig fast,2023-08-14T13:33:29.229Z,0,"['Den kommende tid bliver vejret til T-shirt, men måske suppleret af en regnfrakke.', 'Efter sidste uges kolde, våde og blæsende vejr er der bedring på vej. Resten af ugen byder på ustadigt vejr, men også mere behagelige temperaturer. Samtidig løjer vinden betydeligt af.', '- I dag havde vi den første sommerdag i 29 dage, så vi har næsten haft en hel måned med køligt vejr for årstiden, men nu vender det, siger meteorolog ved TV 2 Vejret Sebastian Pelt.', 'En meteorologisk sommerdag har over 25 grader, og det blev der blandt andet målt på Landbohøjskolen i København. I går, søndag, blev temperaturen sammesteds målt til 24,5 grader.', 'Og ifølge Sebastian Pelt er det den slags temperaturer, vi skal indstille os på de kommende dage, hvor vi kommer til at ligge på omkring 22-25 grader som det højeste.', 'Sidste uge var der nogle dage, hvor den højeste dagtemperatur ikke engang kom over 19 grader.', 'Til gengæld er der tale om ustabil luftmasse, så der vil være masser af skyer, og der vil også komme regn.', '- Det er fugtig luft, og det kan godt føles lummert. Der vil være mulighed for regn eller byger, selvom varmen bliver mere behagelig, siger Sebastian Pelt.', 'Allerede i morgen, tirsdag, er der igen potentiale for en meteorologisk sommerdag, men altså også kraftige byger.', 'Onsdag og torsdag bliver nogle varme dage med 20 til 23 grader med overvejende tørt vejr.', 'Fredag bliver ligeledes pæn, men med lidt øget risiko for byger, mens weekendens vejr bliver helt afgjort af, om et forventet potentielt tordenvejr med store mængder nedbør rammer eller går uden om Danmark lørdag.', 'Lørdag bliver igen en relativt varm dag, men den kan altså også ende med at være meget våd.', 'Søndag og mandag bliver mere tørre, og der er ikke noget, der tyder på, at der kommer køligere vejr der.', 'Dermed kan vi fortsætte i T-shirts – og nogle dage regnfrakke – i hvert fald en uges tid endnu.']",Vejr
Sebastian Pelt,Her kan vi nå 27 graders varme i dag,2023-08-14T07:32:27.006Z,0,"['Temperaturerne kan stige til over 26 grader.', 'For første gang i 29 dage er der udsigt til temperaturer, der kan nå over 25 graders varme i Danmark.', 'Det vil sikre os en meteorologisk sommerdag – den første i august i 2023.', 'En relativt varm luftmasse befinder sig over Danmark, og allerede fra morgenstunden er temperaturerne mange steder på mellem 15 og 18 grader.', 'Det er fra dette generelle udgangspunkt, at temperaturerne skal stige til et sommerdags-givende niveau senere på dagen.', 'Med solens hjælp bliver det hurtigt varmere i formiddagstimerne, men især over Jylland er der mange skyer fra morgenstunden.', 'Skyerne virker opvarmende om natten, men omvendt afkølende om dagen. ', 'Det skyldes, at de effektivt skygger for solens stråler, der ellers ville ramme landjorden og varme den op. Derefter får den varme overflade luftens temperatur til at stige.', 'Hvis skyerne er højtliggende og ""tynde"", kan der stadigvæk slippe en del sollys igennem og få temperaturerne til at stige en del. ', 'Hvis skyerne derimod er mere lavtliggende og tykkere, så bliver det ikke nær så varmt som det ville være, hvis det var skyfrit.', 'Luftmassen over Danmark er varm nok til at temperaturen kan nå over 25 grader flere steder - især over den sydøstlige del af landet.', 'Her er det faktisk muligt, at temperaturen kan nå 26-27 grader i eftermiddagstimerne, hvis der kommer længere perioder med masser af solskin.', 'De allerhøjeste temperaturer vil være at finde over Lolland, den østlige del af Sjælland og i hovedstadsområdet.', ""I Jylland bliver det generelt lidt koldere, men eftermiddagstemperaturer på 23-24 grader er muligt. Kun i den nord- og vestlige del af Jylland vil flere skyer - og måske enkelte byger - holde temperaturen 'nede' på omkring 20 grader."", 'I hele landet kan vi mandag nøjes med svag til let vind fra sydøst og øst.']",Vejr
Rune Zeitzen,Solskin og tørvejr på vej i næste uge,2023-08-13T10:17:37.084Z,0,"['Tirsdag kan temperaturen nå 25 grader.', 'Sommeren 2023 bliver formentlig husket af mange som værende våd og kold og med nedslående vejrudsigter på stribe.', 'Det ser dog ud til at ændre sig nu, da vejrudsigten for de kommende dage virker mere sommerlig, end den formentlig har været i hele skolernes ferie.', 'Der er nemlig udsigt til en del sol og kun en enkelt dag med kraftige byger.', 'Der bliver også skruet op for temperaturerne, og alle dage i næste uge er der udsigt til over 20 grader.', 'Den nye uge lægger ud med en mandag, som på mange punkter minder om søndag, i hvert fald vejrmæssigt. ', 'Der er god plads til solen mod syd og øst, mens der mod nord og vest ikke kommer lige så meget solskin.', 'Til gengæld kommer temperaturerne op på mellem 21 og 24 grader, og lokalt kan 25 grader ikke udelukkes mod øst.', 'Tirsdag passerer et lille lavtryk landet, og dets fronter trækker op over landet fra sydvest.', 'Det giver en ustadig dag med risiko for både skybrud og torden.', 'På forsiden af tordenbygerne kan det blive varmt og lummert, og det ventes, at temperaturerne kan nå op mellem 22 og 25 grader, og lokalt 26 grader.', 'Efter tirsdagens frontpassage og kraftige byger bliver vejret noget mere stabilt.', 'Et højtryk etablerer sig nord for landet, og det holder lavtryk og fronter på afstand for en stund.', 'Det giver god plads til solen, og især onsdag og torsdag ser sommerlige ud.', 'Fredag begynder det at blive en smule mere ustadigt igen, da lokale kraftige byger kan begynde at nærme sig landet.', 'I modsætning til de seneste uger, hvor der ofte kunne falde 30 til 60 millimeter regn i hele landet på en uge, ser det ud til at blive mere tørt i den kommende uge.', 'Lokalt kan der nemlig falde under 5 millimeter regn de næste fem dage.', 'Andre steder kan der falde en del mere, hvor hovedparten forventes at falde i forbindelse med tirsdagens kraftige byger.', 'Det er efterhånden længe siden, at man her fra TV2 Vejret har kunnet præsentere et femdøgnsskema, som kun har ét nedbørssymbol på og tørvejr resten af ugen.']",Vejr
Rune Zeitzen,Fredelig søndag byder på solskin og byger,2023-08-13T06:18:51.799Z,0,"['Mod øst kan temperaturen nå 23 grader.', 'Søndagens vejr står i stor kontrast til lørdagens, hvor mange kraftige byger trak op over landet fra sydvest.', 'Søndagen byder nemlig på en langt mere fredelig udgave af dansk sommervejr med en blandet landhandel af sol, skyer og byger.', 'For langt de flestes vedkommende bliver søndag en tørvejrsdag. Mod vest kan der dog opstå enkelte byger ved frokosttid.', 'Søndag morgen ligger et varierende skydække over landet, som giver både plads til solen, men også skygge af og til.', 'Formiddagen tager fat, hvor morgenen slap, og fortsætter med det varierende skydække.', 'Flest skyer finder man mod vest, mens man mod øst har udsigt til mere plads til solen.', 'Ud på formiddagen ventes der at opstå enkelte byger i det vestlige Jylland, men de ventes ikke at give store mængder nedbør.', 'Frem mod frokost stiger temperaturerne til mellem 17 og 20 grader, varmest mod sydøst.', 'Efter frokost fortsætter vejret i næsten samme spor.', 'Mest sol er der fortsat mod øst, hvor man kan forvente længere perioder med solskin, men med lidt flere skyer end om formiddagen.', 'Mod vest har de lokale byger bredt sig, og der er risiko for smådryp i den nordlige halvdel af Jylland.', 'Dog vil langt de fleste fortsat opleve søndagen som en tørvejrsdag.', 'Temperaturerne stiger yderligere ud på eftermiddagen, og mod syd og øst ventes de at toppe på mellem 20 og 23 grader, og helt lokalt kan 24 grader ikke udelukkes.', 'Mod nord og vest bliver det noget køligere med temperaturer, som flere steder holder sig under 20 grader.', 'Ud på aftenen dør bygerne ud, og det holder tørt i hele landet.']",Vejr
Lærke Halkjær,Se på himlen i nat – op til 100 stjerneskud i timen,2023-08-12T14:03:14.065Z,0,"['Stor meteorsværm topper netop i nat.', 'I nat er der en særlig årsag til at blive længe oppe eller stå op midt om natten. Især hvis man har interesse for at spotte lysende himmelfænomener som stjerneskud.', 'Perseiderne, som er en af de største meteorsværme, har kunnet ses siden 14. juli, men i nat bliver sværmen mest intens.', 'Got weekend plans? Look up on Aug. 12 for the best meteor shower of the year. 🌠Weather permitting, you’ll have the best view of the Perseids in the Northern Hemisphere between midnight and dawn, but early Perseids are already being spotted.Tips: https://t.co/7pYT5e3BIO pic.twitter.com/FRcReTAb8c', 'Nattehimlen kan pryde med op til 100 stjerneskud i timen, idet Jorden skærer igennem meteorsværmen. De kan ses gennem hele natten.', 'Perseiderne er tættest på jordkloden omkring den 58. breddegrad. Det er kun 35 kilometer nord for Skagen.', 'Meteorsværmen er rester af støv og sten fra kometen Swift-Tuttle, som har en 133 år lang cyklus rundt om Solen. Næste gang, at selve kometen kan ses fra Jorden, er omkring år 2125.', 'Denne meteorsværm gør sig dog ekstra særlig. Meteorerne kan nemlig være farverige på nattehimlen og kan efterlade længerevarende lysende spor efter sig.', 'Meteoerne flyver forbi blot 100 kilometer over jordoverfladen. Skulle en meteor falde ned og ramme jordoverfladen, vil den kaldes en meteorit.', 'Meteorid', 'Et stenobjekt i kredsløb omkring Solen. Er mindre end en asteoride\xa0– det vil sige typisk mindre end cirka\xa0100 meter i diameter.', 'Meteor (stjerneskud)', 'Meteorid, der trænger ind i Jordens atmosfære og begynder at brænde under udsendelse af lys.', 'Bolide (ildkugle)', 'En ekstremt kraftig\xa0lysende meteor, der eksploderer i atmosfæren. Er typisk mere end dobbelt så lysstærk som Månen.', 'Meteorit', 'En meteor, der rammer Jordens overflade.', 'Netop i disse dage er månen i den aftagende fase, da der er nymåne 16. august. I nat svarer det til, at kun 14 procent af månen er oplyst. ', 'Der er derfor gode betingelser for at se stjerneskuddene, da månen ikke vil lyse for meget op. Derudover vil det også være bedst at befinde sig uden for storbyerne, så himlen er så lidt oplyst som muligt.', 'Solen vil i aften gå ned mellem klokken 20.40 og 21.15. ', 'Særligt i den sydvestlige halvdel af landet er der gode muligheder for at spotte Perseiderne. Her er der bedst chance for færrest skyer på himlen.', 'I løbet af nattetimerne vil der også komme flere huller i skyerne længere mod nord. ', 'TV 2 Vejret bruger billeder fra danskerne i både vores vejrudsigter og til artikler her på hjemmesiden og vores app. Du kan indsende både billeder og video til TV 2 Vejret. Det gør du her.', 'Kigger man mod en nordlig til nordøstlig retning, vil meteoerne se ud til at brænde op mellem de to stjernebilleder Perseus og Cassiopeia. Men de kan også ses andre steder på himlen, så hold øje med hele nattehimlen.', 'Perseiderne vil fortsat være mulige at spotte på himlen til 1. september.']",Vejr
