,Live,time_group,LIX,Nyhedsbureau,LIX_Headline,Category_Business,Category_Krimi,Category_Politik,Category_Samfund,Category_Sport,Category_Udland,Category_Underholdning,Category_Vejr,IsBoy
0,0,2,39.097429955761534,0,50.0,0,0,0,0,0,1,0,0,1
1,0,2,39.22908315565032,0,58.0,0,0,0,1,0,0,0,0,0
2,0,2,38.54637146371464,0,56.0,0,0,0,1,0,0,0,0,0
3,0,2,42.699095022624434,0,56.45454545454545,0,0,0,1,0,0,0,0,0
4,1,2,44.71145118733509,1,39.333333333333336,0,0,0,0,0,1,0,0,0
5,0,1,44.8915182755389,0,64.0,0,0,0,0,0,1,0,0,1
6,0,1,38.35023635582295,1,35.57142857142857,0,1,0,0,0,0,0,0,0
7,0,1,44.194495189380106,0,22.666666666666668,0,0,0,0,0,1,0,0,0
8,0,1,40.284615384615385,0,70.5,0,0,0,0,0,1,0,0,0
9,1,1,45.21880039765824,1,101.0,0,0,0,1,0,0,0,0,0
10,0,3,45.93123446561724,0,53.44444444444444,0,0,0,0,0,1,0,0,1
11,0,3,45.36534216335541,0,31.22222222222222,0,0,0,1,0,0,0,0,1
12,0,3,39.18785425101214,0,20.11111111111111,1,0,0,0,0,0,0,0,0
13,0,3,43.37117117117117,0,43.76923076923077,0,0,0,1,0,0,0,0,1
14,0,3,47.04964539007092,0,56.45454545454545,0,0,0,1,0,0,0,0,1
15,0,3,45.92739068055643,0,20.0,0,0,1,0,0,0,0,0,0
16,0,3,45.78109072375128,0,65.54545454545455,0,0,0,1,0,0,0,0,1
17,0,3,30.40637615544237,0,14.25,0,0,0,1,0,0,0,0,0
18,0,3,46.56871854432831,0,29.181818181818183,0,0,0,1,0,0,0,0,0
19,0,3,44.21848739495798,0,70.5,0,0,0,0,0,1,0,0,0
20,0,3,47.46584761615856,0,51.46153846153846,0,0,0,1,0,0,0,0,0
21,0,3,48.27742749054224,1,49.85714285714285,0,0,0,0,0,1,0,0,0
22,0,3,39.81540872920184,0,58.0,0,0,0,1,0,0,0,0,1
23,0,3,39.01680672268908,0,30.0,0,0,1,0,0,0,0,0,0
24,0,3,46.90077125658389,0,45.333333333333336,0,0,0,1,0,0,0,0,1
25,0,3,35.625816993464056,1,42.333333333333336,0,1,0,0,0,0,0,0,0
26,0,2,49.03423423423423,1,78.42857142857143,0,1,0,0,0,0,0,0,0
27,0,2,36.68484848484849,1,42.333333333333336,0,0,0,0,0,1,0,0,0
28,0,2,37.25861095426313,0,20.11111111111111,0,0,0,0,0,1,0,0,0
29,0,2,53.50261877459943,0,37.91176470588235,0,0,0,0,0,1,0,0,1
30,0,2,28.33894764329547,0,15.61111111111111,0,0,0,1,0,0,0,0,0
31,0,2,39.406304222093695,1,28.666666666666668,0,0,0,1,0,0,0,0,0
32,0,2,39.324213964883626,1,42.333333333333336,0,0,0,0,0,1,0,0,0
33,0,2,34.84034209034209,0,34.75,0,0,0,1,0,0,0,0,0
34,0,2,44.74025974025974,0,49.6764705882353,0,0,0,0,0,1,0,0,1
35,0,2,42.57864357864358,1,33.0,0,0,0,0,0,1,0,0,0
37,0,2,35.76230899830221,0,47.36363636363637,0,0,0,1,0,0,0,0,1
38,0,2,39.48135964912281,0,79.0,0,0,0,1,0,0,0,0,0
39,0,2,41.988820460518575,0,34.75,0,0,1,0,0,0,0,0,0
40,0,2,46.56540766815717,0,29.181818181818183,0,0,0,1,0,0,0,0,0
41,0,2,39.85769040553907,1,29.0,0,0,0,1,0,0,0,0,0
42,0,2,41.208484341603935,0,37.0,0,0,1,0,0,0,0,0,0
43,0,1,34.326649958228906,0,45.0,0,0,0,1,0,0,0,0,1
44,0,1,45.05552233038294,0,72.66666666666667,0,0,0,0,0,1,0,0,0
45,0,1,37.8610035048884,0,11.0,0,0,1,0,0,0,0,0,1
46,0,1,43.789907204671046,0,22.666666666666668,0,0,0,0,0,1,0,0,0
47,0,1,41.47385620915033,1,31.22222222222222,0,1,0,0,0,0,0,0,0
48,0,1,41.7363154087292,1,20.5,0,0,0,0,0,1,0,0,0
49,0,1,46.711445559271645,1,56.0,0,0,0,1,0,0,0,0,0
50,0,1,39.52251758472641,0,39.333333333333336,0,0,0,1,0,0,0,0,1
51,0,3,42.57142857142857,1,83.0,0,0,0,1,0,0,0,0,0
52,0,3,36.112880111066325,0,50.0,0,0,1,0,0,0,0,0,0
53,0,3,44.396025674843926,0,35.42857142857143,0,0,0,0,0,1,0,0,1
54,0,3,27.78683385579937,1,21.285714285714285,0,0,0,1,0,0,0,0,0
