Authors,Headline,Time,Live,All_text,Category
Christian Kjær,Quick-Step præsenterer stjerne,2023-08-16T08:56:04.222Z,0,"['Mikel Landa har skrevet en toårig kontrakt med Soudal – Quick-Step, hvor han kommer til at stå i skyggen af Remco Evenepoel.', 'Holdejer Patrick Lefevere har ikke selv gjort meget for at skjule det.', 'Men nu er det officielt præsenteret. Spanske Mikel Landa skifter til Soudal Quick-Step fra næste år, og her får han hovedsageligt én rolle: Han skal være hjælperytter for Remco Evenepoel.', '- Jeg er glad for og motiveret af denne nye udfordring, hvor jeg skal hjælpe Remco med at opnå hans mål. Jeg kommer her med en masse erfaring – især i Grand Tours, hvor jeg har kæmpet for podiet og har hjulpet adskillige andre med at vinde. Jeg har altid haft det godt med at støtte yngre ryttere, og jeg ved, at jeg vil passe ind her, siger Landa til Quick-Steps hjemmeside.', '- Jeg vil gøre mit bedste i de kommende sæsoner, og jeg er overbevist om, at jeg kan hjælpe Remco en masse, og samtidig er jeg sikker på, at jeg kan levere et godt resultat, når jeg selv får chancen.', 'Mikel Landa kører for Bahrain Victoroius i denne sæson, og han kom til det hold i 2020. Her har han hovedsageligt været kaptajn, men det lyder nu til, at han tager et skridt ned ad rangstigen.', 'Nyheden lyder formentlig godt i Remco Evenepoels ører.', 'I hvert fald har hans far, Patrick Evenepoel, forlangt forstærkninger på Soudal Quick-Step-mandskabet, hvis sønnike skulle blive.', '- Vi venter og ser, hvilke ryttere der kommer til og forlader Quick-Step. Remco vil gerne blive på den betingelse, at han kan være kompetitiv i næste års Tour de France, har Patrick Evenepoel tidligere sagt.', 'Soudal Quick-Steps holdejer og manager, Patrick Lefevere, var den første til at løfte sløret for, at Landa var på vej.', '- I en alder af 33 år har Landa besluttet at hjælpe Evenepoel i to år. Det tror jeg, at Remco er tilfreds med - selvom han ikke stiller store krav, skrev Lefevere selv i en klumme.', 'Mikel Landa har blandt andet tre Giro-etapesejre på cv’et samt en bjergtrøje i samme løb fra 2017. Derudover har han vundet en Vuelta-etapesejr og sejre i Vuelta a Burgos, Giro del Trentino og Baskerlandet Rundt.', 'Remco Evenepoel har kontrakt med Soudal Quick-Step-holdet til og med 2026.']",Sport
Nicolai Dvinge,Messi skriver historie med Miami – selv modstanders træner bøjer sig i støvet,2023-08-16T08:18:43.961Z,0,"['Lionel Messi har nu scoret ni mål i seks Inter Miami-kampe. ', 'Lionel Messi tog ikke til USA for at slappe af. I så fald er planen gået i vasken. ', 'Argentineren har nemlig været intet mindre end fænomenal siden sit skifte til Inter Miami, og natten til onsdag resulterede det i en finaleplads til klubben.', 'Her vandt Miami 4-1 over Mikael Uhres Philapelhia Union i semifinalen af Leagues Cup, der er en årlig turnering med holdene fra MLS og den mexianske liga. ', 'Med et langskud scorede Messi til 2-0, hvilket var hans niende scoring i den blot sjette kamp i Inter Miami-trøjen. Alle kampene har været i Leagues Cup, og dermed har argentineren spillet en vital rolle i den historiske finaleplads. ', 'Dét fik modstanderens træner til at bøje sig i støvet. Selv i nederlagets stund. ', '- Det kræver en komplet holdindsats at have en chance mod et hold som Miami. Vi lavede for mange fejl de første 20-30 minutter, og det straffede de. Vi var ikke os selv, men de spillede virkelig godt. ', '- Tilskuerne var fantastiske, og stemningen var i top. Var der mange lyserøde trøjer? Ja, naturligvis. Men sådan bliver det, uanset hvor han (Messi, red.) tager hen. Han er global, og den bedste nogensinde til at spille vores sport. Og han er ydmyg. At han bliver ved med at præstere igen og igen, selvom han ikke er tvunget til at gøre det ... ja, han er vinder. Nu skal han i finalen, og det gør ondt, at det ikke er os, siger Jim Curtin ifølge ESPN efter hjemmebanenederlaget. ', 'GOL numero 9️⃣ para nuestro 🔟#PHIvMIA | 0-2 pic.twitter.com/W6w0Th4pzZ', 'Miami fik også hjælp af Jordi Alba, der scorede til 3-0, mens også Sergio Busquets spillede nok en stor kamp i den lyserøde trøje. ', 'Dermed spillede den tidligere Barcelona-trio en vigtig rolle i Miamis sjette sejr på stribe. ', 'I finalen skal Miami møde Nashville SC, hvor den tidligere Brøndby-spiller Hany Mukhtar er den helt store stjerne.', 'Sejren var af mange årsager historisk for David Beckhams klub. Det er første gang, at klubben vinder seks kampe i streg, mens det også er klubbens første finale nogensinde. ', 'Derudover har Miami også sikret sig en plads i CONCACAF Champions League, hvilket klubben heller aldrig har prøvet før. ']",Sport
Christian Kraglund,"Her mangler Wozniacki stadig noget, siger ekspert ",2023-08-16T07:37:27.238Z,0,"['Det kørte ikke på skinner for Caroline Wozniacki i Cincinnati.', 'Den kvindelige tennisspiller fik ikke den bedste start.', 'For WTA 1000-turneringen i Cincinnati blev det til en ganske sikker sejr for Varvara Gracheva med cifrene 6-4, 6-4 mod Caroline Wozniacki.', 'Patrick Wozniacki, der er bror til Caroline og TV 2 Sports tennisekspert, kan godt se, hvor der er plads til forbedring henne i spillet på banen.', '- Der er stadigvæk masser af rust i hendes spil. Vi så det både mod Markéta Vondrousova, og vi så det i dag (tirsdag mod Gracheva, red.), at hun ikke er skarp nok på breakboldene.', '- Det er fem point, der afgør det, hvis man kigger på hele kampen. Og hun er altså 0 for 9 på de breakbolde, hun tilspiller sig. Hvis ikke man udnytter den slags, så taber man kampene, siger Patrick Wozniacki.', 'Caroline Wozniacki havde sine problemer med at vise den rette koldblodighed, når tingene spidsede til mod Varvara Gracheva.', 'Men der er også et andet aspekt, hvor danskeren med fordel kan forbedre sig frem mod US Open, der er danskerens store mål.', '- Når spillet er i gang, synes jeg, det ser fornuftigt ud – især med baghånden. Men forhånden kniber lidt til tider. Det er mest returneringer på de vigtige tidspunkter, hvor hun desværre halser efter. Det er det, der var udslagsgivende mod Gracheva og tidligere mod Vondrousova, hvor hun også havde sine muligheder, siger Patrick Wozniacki.', 'Caroline Wozniacki kan nu i stedet rette fokus mod US Open, der begynder 28. august. ']",Sport
Lars Bruun-Mortensen,Skjern skal have ny træner – ekspert er overrasket,2023-08-16T07:00:59.070Z,0,"['Henrik Kronborg ønsker ikke at forlænge sin kontrakt med Skjern, når den udløber næste sommer.', 'Skjern Håndbold skal igen på trænerjagt. ', 'Cheftræner Henrik Kronborg har meddelt vestjyderne, at han ikke ønsker at forlænge sin aftale, når den udløber næste sommer. ', '- Jeg har været i Skjern i fire år nu og synes, at tiden er kommet til at prøve noget nyt, siger Kronborg til TV 2 Sport.', 'Han vendte tilbage til Skjern sidste sommer for at overtage cheftrænerjobbet fra Mathias Madsen, der havde vikarieret på posten i otte måneder efter Claus Hansens farvel som Skjern-træner i efteråret 2021. ', 'Kronborg skal også styre taktiktavlen på Skjern-bænken i den kommende sæson, men hvad der skal ske derefter, ved den 53-årige træner ikke. ', '- Jeg har ikke noget i baghånden. Det er ikke et stop, fordi der er noget andet spændende. Det er en beslutning om at ville prøve noget andet, siger Henrik Kronborg.', 'Sikkert er det, at han ikke bliver helt arbejdsløs. I juni forlængede Kronborg nemlig sin aftale som assistenttræner for Nikolaj Jacobsen på herrelandsholdet helt frem til sommeren 2028.', 'Det er en meget overraskende nyhed for mig. Jeg havde troet, at Kronborg skulle være der i flere år – og selv om Skjern tabte bronzekampen sidste sæson, havde de jo en mere end godkendt sæson, vil jeg mene, i betragtning af de skader, de havde.', 'Henrik Kronborg afviser, at der er noget dramatik i beslutningen om at stoppe i Skjern efter kun to sæsoner som cheftræner.  ', '- Det kan godt være, det har været ad to omgange, men de seneste fem år, jeg har været klubtræner (efter den kommende sæson, red.), har jo været i Skjern, og beslutningen skal jo tages på et eller andet tidspunkt, siger Skjern-træneren, der i sine foreløbig fire sæsoner i Skjern har prøvet både at vinde DM-guld, blive pokalmester og vinde Super Cuppen. ', 'I sidste sæson tabte Skjern bronzen til Fredericia efter tre kampe. ', 'Den vestjyske klub er allerede i gang med at finde af, hvem der skal afløse Henrik Kronborg næste sommer.', '- Vi har forståelse for og respekterer Henrik Kronborgs beslutning – og er samtidig taknemmelige for, at afklaringen er kommet i så god tid. Vi er allerede godt i gang med rekrutteringen til denne vigtige post, men nu ser vi frem til – og glæder os til – den femte sæson med Kronborg i spidsen, siger Skjerns sportschef Thomas Klitgaard.', 'Skjerns sæson begynder om 10 dage – 26. august – med en ottendedelsfinale i pokalturneringen på udebane mod Mors-Thy.', 'Første tv-kamp i den nye sæson bliver sendt dagen efter - 27. august - hvor TTH Holstebro tager imod Aalborg Håndbold i pokalturneringen og direkte på TV 2 Sport og TV 2 Play.']",Sport
Ritzau,Rune skal møde amerikansk wildcard-spiller,2023-08-16T06:05:28.567Z,0,"['Mackenzie McDonald vandt sin kamp og brager ind i Holger Rune i anden runde af ATP-turnering i Cincinnati.', 'Holger Rune har fået sat navn på sin første modstander i ATP-turneringen i Cincinnati.', 'Det bliver den amerikanske wildcardspiller Mackenzie McDonald, der vandt sin kamp i første runde over tyskeren Yannick Hanfmann med cifrene 7-5, 6-1 natten til onsdag dansk tid.', 'Som verdens nummer fem sad Holger Rune over i første runde i turneringen. Den fungerer som optakt til Grand Slam-turneringen US Open senere på måneden.', 'En enkelt gang tidligere har Holger Rune mødt Mackenzie McDonald, og det indbyrdes opgør fandt sted tidligere i år i Indian Wells.', 'Ved den lejlighed vandt Holger Rune 7-5, 6-3 over amerikaneren, der er nummer 43 i verden.', 'Holger Runes kamp mod Mackenzie McDonald står til at blive spillet sent onsdag aften dansk tid.', 'Vinderen af opgøret mellem Holger Rune og Mackenzie McDonald skal i ottendedelsfinalen møde franskmanden Adrian Mannarino, der er nummer 32 i verden.', 'Adrian Mannarino vandt 6-4, 6-4 i anden runde over canadiske Felix Auger-Aliassime, der ellers var seedet som nummer 12.', 'Carlos Alcaraz havde problemer i sin kamp i anden runde, men den spanske verdensetter endte med at vinde 7-5, 4-6, 6-3 over australieren Jordan Thompson.', 'Det var sejr nummer 50 for Alcaraz i denne sæson, hvor han har stillet op i 12 turneringer indtil videre.', 'Han har kun tabte fem kampe i år, og det er blevet til seks turneringssejre.', 'US Open begynder 28. august.']",Sport
Christian Ipsen,"Neymar-skifte kan skabe ny sneboldeffekt, siger ekspert",2023-08-16T05:58:50.160Z,0,"['Neymar er stadig en af verdens bedste fodboldspillere, mener Mads Junker.', 'Den saudiarabiske fodboldliga er blevet en stjerne rigere med Neymars skifte til Al-Hilal.', 'Og netop dét skifte kan medføre, at endnu flere spillere vil tage turen samme vej, lyder vurderingen fra Mads Junker, TV 2 Sports fodboldekspert.', '- Neymar er i mine øjne stadig en af verdens bedste fodboldspillere. Han ville kunne gå ind på alle tophold i Europa og spille en afgørende rolle.', '- Han vælger så – på trods af de manglende sportslige udfordringer – alligevel Saudi-Arabien. Måske skaber det en ny sneboldeffekt med flere navne, der kommer til, lyder det fra Junker.', 'Mads Junker ser ikke den saudiarabiske liga have nogen grænser for, hvilke spillere den kan få fat i.', '- Det ser ikke ud til, at de på noget tidspunkt ikke vil række ud efter stjernerne, og det har de held med. Lad os se, om der ikke kommer flere af de store navne til.', ""Listen over stjerner, der har fået kontrakt i Saudi-Arabien denne sommer, tæller blandt andre Karim Benzema, N'Golo Kanté og Jordan Henderson."", 'Neymars klub, Al-Hilal, har selv tilknyttet Malcom, Ruben Neves og Kalidou Koulibaly fra væsentligt større ligaer.', 'Saudi-Arabien er i gang med at støvsuge store stjerner fra de europæiske ligaer. Få overblikket her.', 'Bekræftede handler:', 'Derudover er den talentfulde tyske træner\xa0Matthias Jaissle hentet fra Red Bull Salzburg.\xa0', 'Bekræftede handler:', 'Bekræftede handler:', 'Bekræftede handler:', 'Intense rygter:', 'Bekræftede handler:', 'Bekræftede handler:', 'Derudover er Liverpool-legenden Steven Gerrard blevet ansat som cheftræner.\xa0']",Sport
Nicolai Dvinge,"- Ikke godt nok på det her niveau, konstaterer Wozniacki",2023-08-16T05:07:04.628Z,0,"['Den tidligere verdensetter ser nu frem til US Open i New York. ', 'Caroline Wozniacki fik blot en enkelt kamp ud af sin deltagelse i WTA-turneringen i Cincinnati. ', 'Den danske stjerne, der er i gang med sit comeback efter tre og et halvt års fravær fra tennisbanen, var efter nederlaget slet ikke tilfreds med det niveau, hun fik vist. ', '- Jeg synes ikke, jeg spillede særlig godt. Jeg fandt aldrig min rytme, og jeg spillede ikke, som jeg føler, jeg kan. Så jeg prøvede bare at kæmpe.', '- Det var ét brud i hvert sæt, der gjorde forskellen, og jeg havde selv ni breakbolde, og jeg vandt ikke en eneste af dem. Og det er ikke godt nok, når man møder spillere på det her niveau. Så det skal jeg arbejde på, siger Wozniacki på pressemødet efter kampen.', 'Wozniacki tabte til verdens nummer 45, Varvara Gracheva, med cifrene 6-4, 6-4. Nederlaget betyder, at danskeren blot har nået at spille tre tenniskampe inden US Open. ', 'Den amerikanske Grand Slam, der også er årets fjerde og sidste af slagsen, starter den 28. august, og dermed er der ikke flere turneringer, hun kan nå at deltage i inden turneringsstarten. ', 'Derfor skal der tænkes kreativt.', '- Jeg ville gerne have haft nogle flere kampe her, så jeg kunne have kommet ind i den her kamprytme, men det er, hvad det er. Der er intet, jeg kan forandre lige nu. Jeg kommer til at se, om der er andre af pigerne (på WTA Touren, red.), der bliver her (i Cincinnati, red.), så vi kan få spillet nogle point. Så kan jeg også prøve at finde en rytme med en hittingpartner.', '- Jeg har stadig omkring 10 dage til at forberede mig til US Open. Der er en del ting, hvor jeg bliver nødt til at forbedre mig. I sidste uge var jeg ret glad for, hvor jeg stod, men i den her uge føler jeg ikke, at min timing er, som den skal være. Så jeg må tilbage og arbejde hårdt. ', 'I presserummet blev Wozniacki også adspurgt, hvordan hun overordnet ser på sit comeback. ', 'Og trods to nederlag i tre kampe er der stadig stor tro på tingene hos den tidligere verdensetter.', '- Jeg tror på mig selv, og jeg tror på det her comeback. Det tager mig noget tid at vænne mig til kampene og det at konkurrere i virkelige turneringer igen. Men jeg føler ikke rigtig noget pres fra alle mulige andre.', '- Jeg har altid bare været hård ved mig selv, fordi jeg søger efter perfektion, hvilket ikke er muligt i den her sport. Jeg arbejder bare hårdt og forsøger at spille bedre og bedre hver dag, siger Wozniacki med et smil på læberne.', 'Næste opgave for Caroline Wozniacki er som bekendt Grand Slam-turneringen US Open, som danskeren har fået et wildcard til.']",Sport
Christopher Roth,"- Pengene er det mindst vigtige, siger FCM-direktør ",2023-08-16T04:43:34.646Z,0,"['FC Midtjylland vil ikke investere massivt i førsteholdet. ', 'En økonomisk ulempe er det næppe at have Danmarks rigeste person som ejer. ', 'Det har de fået i FC Midtjylland, efter Anders Holch Povlsen igennem sit selskab Heartland har overtaget aktiemajoriteten i klubben. ', 'Målsætningen med ejerskitet er, at FC Midtjylland kan tage det næste skridt mod at blive en top-50-klub i Europa, men de tunge økonomiske kræfter er ikke ensbetydende med, at de nu vil kaste om sig med penge. ', '- Jeg tror, at pengene er det mindst vigtige, siger klubbens direktør, Claus Steinlein, på tirsdagens pressemøde, hvor ændringen i ejerskabet blev præsenteret. ', 'Anders Holch Povlsen har købt de aktier, som den nu tidligere majoritetsejer, engelske Matthew Benham, havde. Han ejer nu 95,5 procent af klubben. ', 'Vi kan lære rigtig meget uden for banen, og der får vi en af Danmarks allerdygtigste erhvervsfolk', 'Claus Steinlein anerkender, at Holch Povlsens pengetank kan være med til at skabe et fundament samt give fordelagtige forhandlingssituationer. Men der er andre kvalifikationer, der er vigtigere, hvis du spørger direktøren. ', '- De er gode til at se sammenhængen. Jeg har sjældent mødt mennesker, der er gået så lidt op i fodbold, men samtidig har kunnet sætte sig så hurtigt ind i, hvordan man driver en fodboldklub, som de har gjort. ', '- Vi kan lære rigtig meget uden for banen, og der får vi en af Danmarks allerdygtigste erhvervsfolk og en af de dygtigste erhvervsorganisationer ind, og det er jeg sikker på, at det kommer til at rykke os forretningsmæssigt, siger Steinlein. ', 'Anders Holch Povlsen, der i øvrigt ikke selv var tilstede på tirsdagens pressemøde, købte sig i 2021 ind i FC Midtjylland, hvor han overtog 25 procent af aktierne for 125 millioner kroner. ', 'Det er ikke unormalt i fodboldens verden, at et ejerskifte kan føre til store investeringer på kort sigt for at få skabt de ønskede resultater. Det er dog ikke umiddelbart planen i det midtjyske. ', '- Målet er ikke, at vi bare skal gå ind og investere massivt i førsteholdet og sige, at nu køber vi os til succes. Nej, Midtjylland har altid udviklet sig til succes, og det skal vi fortsætte med, siger Steinlein. ', 'Der resterer fortsat to uger af transfervinduet. Et transfervindue, som særligt FC København  har benyttet til at opruste førsteholdstruppen ved at hente en række prominente navne. ', 'Men ifølge Steinlein er det ikke nødvendigvis målsætningen at lukke det økonomiske hul, der er og altid har været til hovedstadsklubben. ', '- Vi har jo bevist, at vi kunne lukke hullet. Vi har før været foran FCK på sportslige resultater på et lavere budget. Vi er kendt som en region, hvor vi får mest muligt ud af pengene, og det skal vi også fremadrettet, siger Claus Steinlein. ', 'FC Midtjylland har i dette transfervindue solgt stortalentet Gustav Isaksen til Lazio, mens de har forstærket truppen med islandske Sverrir Ingason og Gue-Sung Cho fra Sydkorea, og så er svenske Kristoffer Olsson blevet hentet på en permanent kontrakt efter endt lejeophold. ']",Sport
Ritzau,"- Prag var det bedre hold mod FCK, siger Priske",2023-08-16T04:18:19.050Z,0,"['Sparta Prag-træner Brian Priske vil endnu ikke pege fingre ad sit hold efter dramatisk nederlag til FCK.', 'Sparta Prags danske cheftræner Brian Priske er skuffet ovenpå det dramatiske nederlag til FC København tirsdag.', '- Selvfølgelig er jeg skuffet ligesom resten af drengene, klubben og fansene – alle.', '- Men jeg er også rigtig stolt over, hvordan vi spillede. Det var en virkelig svær kamp mod et virkelig godt hold. Vi pressede hele vejen til straffesparkskonkurrence, siger Brian Priske på pressekonferencen efter kampen.', 'FC København sikrede med sejren en billet til playoffrunden i kvalifikationen til Champions League.', 'Kampen stod 3-3 efter 120 minutters spil i den tjekkiske hovedstad.', 'I straffesparkskonkurrencen brændte Sparta Prag to gange, mens Kevin Diks, Viktor Claesson, Nicolai Boilesen og Roony Bardghji var sikkerheden selv.', 'Prag-træneren mener dog, at hans trup udgjorde ""det bedre hold"".', '- Hvis jeg baserer det på indsatsen, synes jeg, at vi var det bedre hold. Og helt sikkert spillede vi dem ud i mange aspekter – fysisk, teknisk, taktisk, siger han.', 'Men som bekendt er det målscoren, der tæller.', '- Bare ikke på mål, tilføjer Brian Priske.', 'Stillingen var 1-1 ved slutfløjt, og dermed fortsatte kampen i forlænget spilletid. Her kom Sparta på sejrskurs med en scoring til 2-1. I tillægstiden af den forlængede spilletids første del lykkedes FCK med at slå tilbage på mål af Viktor Claesson.', 'Det vilde drama fortsatte i anden halvleg af den forlængede spilletid, hvor Sparta Prag først fik scoret til 3-2. Føringen holdt dog ikke længe, før Viktor Claesson nok en gang udlignede for FCK.', '3-3-stillingen holdt til slutningen af den forlængede spilletid.', 'Brian Priske siger til journalister efter kampen, at det er for tidligt at pege fingre ad holdet.', '- Som træner kan du altid finde et eller andet. Men jeg må være ærlig i dag og sige, at det ikke er i dag, vi skal kigge på de små fejl, for skuffelsen er stor.', 'I perioden 2016-2017 var han assistenttræner i FC København.']",Sport
Ritzau,Neymar vil skrive sportshistorie i Saudi-Arabien,2023-08-16T03:57:52.999Z,0,"['Spilleren mener selv, at Saudi-Arabien er det rigtige sted. Han vil skrive sportshistorie i ørkenlandet.', 'Neymar ser frem til ""nye udfordringer og muligheder på et nyt sted"".', 'Det siger fodboldstjernen, efter at det tirsdag blev præsenteret, at han i fremtiden skal spille for den saudiarabiske klub Al-Hilal.', 'Han skifter fra Paris Saint-Germain, som han har spillet for siden 2017.', '- Jeg vil skrive sportshistorie, og den saudiarabiske liga har en enorm energi og spillere af høj kvalitet for tiden, siger han ifølge nyhedsbureauet AFP.', ' Det er altid svært at sige farvel til en fantastisk spiller som Neymar', 'Dermed træder Neymar i fodsporene på flere andre megastjerner, som har skrevet kontrakt med klubber i Saudi-Arabien.', ""Cristiano Ronaldo, Karim Benzema, N'Golo Kanté og tidligere Liverpool-general Jordan Henderson er alle blevet fristet af de lukrative kontrakter i ørkenlandet."", '31-årige Neymar mener, at Al-Hilal er den rigtige klub for ham.', '- Al-Hilal er en kæmpe klub med fantastiske fans, og det er den bedste i Asien. Det giver mig en følelse af, at det er den rigtige beslutning for mig på det rette tidspunkt med den rette klub. Jeg elsker at vinde og at score mål, og jeg planlægger at blive ved med det i Saudi-Arabien med Al-Hilal, siger Neymar.', 'Ifølge AFP bød Al-Hilal i sidste måned 300 millioner euro for Mbappé. Angriberen nægtede angiveligt at mødes med topfolk fra klubben. Det svarer til 2,2 milliarder kroner.', 'I løbet af sommeren har Al-Hilal tilknyttet Malcom, Ruben Neves og Kalidou Koulibaly fra væsentligt større ligaer.', 'Ifølge adskillige medier må klubben slippe i omegnen af 90 millioner euro for Neymars arbejdskraft. Det svarer til cirka 670 millioner kroner.', 'På sin hjemmeside takker PSG Neymar for hans seks år i den franske hovedstad.', '- Det er altid svært at sige farvel til en fantastisk spiller som Neymar, en af de bedste i verden, siger klubpræsident Nasser Al-Khelaifi.']",Sport
