,full_link
0,https://ekstrabladet.dk/biler/goer-du-det-her-om-morgenen-det-er-ulovligt-og-skidt-for-miljoeet/6967048
1,https://ekstrabladet.dk/krimi/yahya-i-ny-ballade-i-klammeri-med-bartender/5603406
2,https://ekstrabladet.dk/nyheder/politik/danskpolitik/kalder-minister-i-samraad-det-goer-mig-rasende/8591560
3,https://ekstrabladet.dk/nyheder/politik/danskpolitik/konservativ-krise-papes-problemer-staar-i-koe/9896705
4,https://ekstrabladet.dk/biler/400-danskere-paa-venteliste-hypet-elbil-faar-ny-pris/7481966
5,https://ekstrabladet.dk/underholdning/kongelige/danskekongelige/vaek-var-hun-prinsesse-gemmer-sig-for-pressen/6774547
6,https://ekstrabladet.dk/underholdning/filmogtv/tv/bagedyst-baby-juliane-er-blevet-mor/6307987
7,https://ekstrabladet.dk/biler/har-du-styr-paa-reglerne-saa-mange-ting-kan-give-klip-i-koerekortet/7011907
8,https://ekstrabladet.dk/biler/verdenspremiere-ny-volkswagen-rider-med-paa-populaer-bilboelge/6789142
9,https://ekstrabladet.dk/biler/bil_nyheder/toploes-mercedes-holder-dig-godt-varm-om-vinteren/5873905
10,https://ekstrabladet.dk/krimi/drabsoffers-kendis-datter-i-retten-jeg-havde-behov-for-at-se-ham/7581045
11,https://ekstrabladet.dk/forbrug/goderaadom/familiecoachen-afsloerer-det-skaendes-dine-naboer-om/9898814
12,https://ekstrabladet.dk/nyheder/samfund/110.000-kr.-camilla-og-noel-har-ikke-raad-til-at-vaere-en-familie/9381767
13,https://ekstrabladet.dk/nationen/pissesur-sendt-hjem-fra-jemfix/9420658
14,https://ekstrabladet.dk/nyheder/erhverv/totalt-udsolgt-helt-kaotisk/9423980
15,https://ekstrabladet.dk/underholdning/reality/bagedyst-ditte-skal-giftes/6261497
16,https://ekstrabladet.dk/nationen/ukrainsk-mand-henter-kone-og-tre-boern-hjem/9261202
17,https://ekstrabladet.dk/krimi/tre-grusomme-sigtelser-her-skete-det/9738949
18,https://ekstrabladet.dk/biler/merkel-vil-have-bmw-til-at-betale-for-vws-snyd/7395449
19,https://ekstrabladet.dk/plus/engell-gang-i-eus-svingdoer/9872169
20,https://ekstrabladet.dk/musik/intlalbum/ikke-gode-nok-megaband-svigter-igen/6815528
21,https://ekstrabladet.dk/underholdning/blogger-sviner-til-amalie-hun-er-smaat-begavet/6558375
22,https://ekstrabladet.dk/biler/tesla-boss-til-ansatte-absolut-ingen-maa-faa-rabat-paa-vores-biler/6324555
23,https://ekstrabladet.dk/underholdning/reality/hun-var-der-kun-for-en-ting/9868411
24,https://ekstrabladet.dk/biler/mulig-tyv-taget-paa-video-tanker-sjaelden-bmw-et-par-timer-efter-tyveri/7046709
25,https://ekstrabladet.dk/underholdning/dkkendte/beroemmelse-kostede-kaerligheden-nu-har-dr-kendis-faaet-ny-kaereste/7372265
26,https://ekstrabladet.dk/underholdning/filmogtv/tv/droppet-dommer-det-har-sgu-vaeret-fem-gode-og-forrygende-aar/6573007
27,https://ekstrabladet.dk/nationen/har-betalt-39-mia-for-bro-til-23-mia-nu-skal-den-vaere-gratis/6044418
28,https://ekstrabladet.dk/krimi/efter-skuddrama-gyldendal-vil-stadig-udgive-yahya/6005956
29,https://ekstrabladet.dk/forbrug/sundhed/sproejtede-brysterne-med-farlig-olie-raadnede-vaek/9647704
30,https://ekstrabladet.dk/biler/efter-26-aar-90ernes-vildeste-superbil-faar-endelig-en-vaerdig-efterfoelger/7376105
31,https://ekstrabladet.dk/underholdning/filmogtv/tv/dr-sables-ned-stereotyp-og-sexistisk-bagedyst/6333861
32,https://ekstrabladet.dk/biler/52-aarig-kvinde-blev-jagtet-af-politiet-med-190-kmt-jeg-skulle-hente-jesus/7041778
33,https://ekstrabladet.dk/krimi/sigtet-for-aeldredrab-begik-sig-i-musikmiljoeet/7564933
34,https://ekstrabladet.dk/underholdning/kongelige/udenlandskekongelige/saa-mange-millioner-scorer-meghan-markle-ved-skilsmisse/6941444
35,https://ekstrabladet.dk/krimi/yahya-hassans-familie-udsat-for-paasat-brand-noeglebrik-kan-foere-til-gerningsmand/5960181
36,https://ekstrabladet.dk/penge/coop-beholder-slikproducent-paa-ukraines-sorte-liste-paa-hylderne/9808484
37,https://ekstrabladet.dk/nyheder/politik/danskpolitik/store-forskelle-det-tjener-partibosserne/9226010
38,https://ekstrabladet.dk/krimi/naboer-i-chok-81-aarig-blev-offer-for-rovmorder/7548467
39,https://ekstrabladet.dk/biler/bilist-tilkaldte-politiet-kongeoern-har-indtaget-noedsporet/6746782
40,https://ekstrabladet.dk/forbrug/sundhed/waage-sandoe-saadan-undgaar-jeg-demens/9749161
41,https://ekstrabladet.dk/underholdning/dkkendte/dybt-forelsket-dr-vaert-hun-er-simpelthen-saa-smuk/6741973
42,https://ekstrabladet.dk/underholdning/dkkendte/her-er-kage-stjernens-store-tragedie/5777605
43,https://ekstrabladet.dk/underholdning/filmogtv/tv/medvaert-om-blomsterberg-exit-der-blev-helt-stille/6487155
44,https://ekstrabladet.dk/underholdning/kongelige/danskekongelige/skoleklar-prins-henrik-beroliger-mor/5684974
45,https://ekstrabladet.dk/biler/politiet-ude-efter-syndere-bilister-som-goer-dette-faar-boede/6288756
46,https://ekstrabladet.dk/sport/anden_sport/tennis/holger-rune-traekker-sig-fra-sin-foerste-kamp-i-cincinnati/9907248
47,https://ekstrabladet.dk/flash/kongelige/danskekongelige/hasarderet-kongelig-koersel-koerte-mindst-150-kmt-paa-storebaeltsbroen/7087003
48,https://ekstrabladet.dk/biler/se-videoen-saa-sikker-er-du-i-en-voldsom-volvo-ulykke/6580863
49,https://ekstrabladet.dk/nyheder/samfund/vestens-oerer-mod-oest/9448754
50,https://ekstrabladet.dk/nyheder/samfund/forbrugerraadet-her-bliver-du-straffet-for-at-vaere-kvinde/6121511
51,https://ekstrabladet.dk/underholdning/droemmen-aendrede-sig-micki-tilbage-paa-skaermen/6290380
52,https://ekstrabladet.dk/nyheder/samfund/bilgigant-med-vigtig-beslutning-stopper-produktion-af-benzinbiler/6955853
53,https://ekstrabladet.dk/biler/kriminalitetsradar-snart-kan-bilen-fortaelle-hvor-det-er-sikrest-at-parkere/7327353
54,https://ekstrabladet.dk/biler/to-maends-chikanekoersel-filmet-nu-kan-de-miste-kortet/6846182
55,https://ekstrabladet.dk/biler/bilgigant-vil-fyre-5000/7556872
56,https://ekstrabladet.dk/biler/biler-skyld-i-hver-femte-sikkerhedsadvarsel-i-eu/7591197
57,https://ekstrabladet.dk/biler/bil_nyheder/unik-racer-fundet-i-lade-efter-40-aar-saa-meget-er-den-vaerd-i-dag/5873042
58,https://ekstrabladet.dk/sport/fodbold/dansk_fodbold/superligaen/fc_midtjylland/anders-holch-povlsen-bliver-storaktionaer-i-fc-midtjylland/9903737
59,https://ekstrabladet.dk/underholdning/dkkendte/bagedyst-vinder-har-sagt-jobbet-op-satser-alt-paa-kagerne/6355607
60,https://ekstrabladet.dk/nyheder/samfund/krisen-eskalerer-grusomme-vintre-venter/9402374
61,https://ekstrabladet.dk/biler/i-en-verden-af-vilde-suver-tysk-producent-laver-anonym-super-bmw/7402974
62,https://ekstrabladet.dk/biler/ups-bilejer-smadrer-vanvittig-superbil-en-dag-efter-koebet/7236907
63,https://ekstrabladet.dk/biler/tyv-stjal-bil-i-tomgang-saadan-fandt-kvinde-sin-bil-igen/7017903
64,https://ekstrabladet.dk/underholdning/filmogtv/tv/efter-bakexit-mette-blomsterberg-faar-nyt-job/6649578
65,https://ekstrabladet.dk/nationen/atomkraft-partier-stormer-frem/9397339
66,https://ekstrabladet.dk/nyheder/politik/danskpolitik/venstre-klar-til-serviceeftersyn-af-omstridt-lov/8540404
67,https://ekstrabladet.dk/biler/politiet-ydmyger-glemsom-ferrari-tyv-det-er-ikke-paent-gjort/6987345
68,https://ekstrabladet.dk/underholdning/dkkendte/dr-vaert-skal-giftes-han-var-min-foerste-kaereste/7317514
69,https://ekstrabladet.dk/nyheder/politik/villys-vilde-comeback-derfor-stiller-jeg-op/9900422
70,https://ekstrabladet.dk/underholdning/udlandkendte/tv-vaert-michael-parkinson-er-doed/9907770
71,https://ekstrabladet.dk/nationen/far-og-soenner-til-landskamp-voldsomt-generet-af-tobaksroeg/5719856
72,https://ekstrabladet.dk/biler/din-naeste-familiebil-kan-vaere-tegnet-af-lamborghini-designer/7392880
73,https://ekstrabladet.dk/biler/hyundai-satser-paa-deleoekonomi-byt-bilnoeglen-med-en-app/7560354
74,https://ekstrabladet.dk/underholdning/dkkendte/bagedyst-darling-gift/7348967
75,https://ekstrabladet.dk/biler/har-du-brudt-loven-nu-bliver-en-raekke-koeretoejer-lovlige-i-trafikken/6956472
76,https://ekstrabladet.dk/biler/firmaer-retter-ind-ingen-skjulte-afgifter-ved-billeje/7575396
77,https://ekstrabladet.dk/nyheder/politik/danskpolitik/pape-i-frit-fald/9906788
78,https://ekstrabladet.dk/underholdning/dkkendte/bagedyst-sune-kryptisk-om-2017-maaske-der-er-noget-paa-vej/6451930
79,https://ekstrabladet.dk/nyheder/politik/danskpolitik/engell-om-v-og-k-som-hund-og-kat/9854414
80,https://ekstrabladet.dk/sport/cykling/dopingens-roegsloer-saadan-virker-det/9907780
81,https://ekstrabladet.dk/nyheder/samfund/dansk-topforsker-fanget-i-regel-helvede-nu-har-han-forladt-landet/9349239
82,https://ekstrabladet.dk/krimi/svenske-narkobagmaend-mistaenkt-for-eksplosioner-i-fynsk-boligkvarterer/9883349
83,https://ekstrabladet.dk/underholdning/filmogtv/tv/chokmelding-fra-blomsterberg-stopper-i-bagedysten/6486986
84,https://ekstrabladet.dk/sport/anden_sport/badminton/vil-have-filmstjerne-med-til-danmark/9899883
85,https://ekstrabladet.dk/underholdning/bagedyst-sune-hellere-birthe-roenn-i-kanen-end-manu-sareen/6891013
86,https://ekstrabladet.dk/nyheder/politik/danskpolitik/regeringen-vil-saenke-prisen-for-at-krydse-storebaelt/6789499
87,https://ekstrabladet.dk/nyheder/usa-giver-lov-danmark-maa-sende-f-16-kampfly-til-ukraine/9908785
88,https://ekstrabladet.dk/sport/anden_sport/ishockey/kong-henrik-tjekkede-ind-i-koln/6654977
89,https://ekstrabladet.dk/forbrug/sundhed/derfor-skal-du-ikke-bekymre-dig-hvis-dit-barn-gamer-meget/9529823
90,https://ekstrabladet.dk/nationen/i-dag-er-det-kul-dag-i-danmark/9053945
91,https://ekstrabladet.dk/underholdning/kongelige/danskekongelige/det-tar-kun-seks-minutter-og-kongehuset-vil-ikke-ha-du-blir-lidt-laengere/7002710
92,https://ekstrabladet.dk/nyheder/politik/sendte-besked-til-19-aarig-om-hendes-laekre-krop/9732283
93,https://ekstrabladet.dk/sport/cykling/paa-graensen-til-doping-kom-med-i-cyklingens-graazone/9492686
94,https://ekstrabladet.dk/biler/trods-gode-nyheder-for-bilejere-danskerne-er-stadig-voldsomt-overbeskattet/7009728
95,https://ekstrabladet.dk/underholdning/kongelige/danskekongelige/tv-endelig-taler-kong-henrik/5551960
96,https://ekstrabladet.dk/biler/gab-danskerne-brugte-77-mio.-timer-paa-at-sidde-i-koe/7579799
97,https://ekstrabladet.dk/nyheder/samfund/kendte-godsejere-i-problemer-millionerne-fosser-ud/6430849
98,https://ekstrabladet.dk/biler/politiet-ville-have-en-hurtig-bil-saa-vild-er-australiens-nye-patruljevogn/7226110
99,https://ekstrabladet.dk/underholdning/udlandkendte/trodser-doedelig-katastrofe/9902495
100,https://ekstrabladet.dk/underholdning/kongelige/kong-henrik-gav-blaffer-et-lift/5571006
101,https://ekstrabladet.dk/krimi/faeldet-i-koebenhavn-han-er-doedens-koebmand/9365445
102,https://ekstrabladet.dk/nationen/sydkorea-amok-over-dansk-firma/9206984
103,https://ekstrabladet.dk/nationen/jubler-saadan-faar-vi-el-regningen-ned/8641163
104,https://ekstrabladet.dkhttp://ekstrabladet.dk/biler/voldsom-stigning-salget-af-elbiler-eksploderer/6267199
105,https://ekstrabladet.dk/underholdning/filmogtv/tv/endnu-en-bagebombe-kagemand-faerdig-som-dommer/6572891
106,https://ekstrabladet.dk/nyheder/politik/danskpolitik/blaa-stue-vroevler/9528268
107,https://ekstrabladet.dkhttp://www.jv.dk/esbjerg/Bilister-chikanerede-hinanden-groft/artikel/2543624
108,https://ekstrabladet.dk/nyheder/politik/danskpolitik/se-sms-sletter-sygeloegn/9162454
109,https://ekstrabladet.dk/nyheder/samfund/ny-storebaeltskomite-vil-arbejde-for-billigere-broafgift/6032203
110,https://ekstrabladet.dk/underholdning/dkkendte/bagedyst-luna-vender-tilbage-paa-skaermen/6414096
111,https://ekstrabladet.dk/nationen/klonk-kaempevindmoelle-knaekker/8376801
112,https://ekstrabladet.dk/biler/nye-regler-vil-have-folk-hurtigere-ud-at-koere-i-veteranen/7383632
113,https://ekstrabladet.dk/nationen/krise-tyskland-satser-paa-a-kraft/9383979
114,https://ekstrabladet.dk/underholdning/dkkendte/ups-dr-kan-du-spotte-fejlen/7285862
115,https://ekstrabladet.dk/nyheder/samfund/virus-tsunami-i-indien-frygter-spredning-til-resten-af-verden/8549423
116,https://ekstrabladet.dk/krimi/emilies-morfar-vi-havde-opgivet-haabet/9737381
117,https://ekstrabladet.dk/nyheder/samfund/alkoholgigant-tilbage-i-rusland-aekelt/9738303
118,https://ekstrabladet.dk/biler/skoda-satser-vil-bygge-7000-ladestandere/7554837
119,https://ekstrabladet.dk/underholdning/dkkendte/quiz-om-babyer-ved-du-mere-end-amalie/6066818
120,https://ekstrabladet.dk/forbrug/fodevarer/bagedystsdommers-rengoering-gik-i-kage-her-er-foedevarekontrollens-kritik/6884917
121,https://ekstrabladet.dk/sport/fodbold/dansk_fodbold/superligaen/fc_koebenhavn/fck-straffes-ingen-fans-til-kamp-i-polen/9907759
122,https://ekstrabladet.dk/biler/er-din-bil-rustskadet-saa-stor-er-risikoen-for-at-doe-i-et-uheld/7129392
123,https://ekstrabladet.dkhttps://www.jv.dk/kolding/Vognmand-idoemt-kaempeboede-efter-gentagende-snyd-med-hastighedsbegraensning/artikel/2699772
124,https://ekstrabladet.dk/underholdning/kongelige/udenlandskekongelige/nu-er-det-officielt-se-alle-billederne-fra-harry-og-meghans-forlovelse/6934283
125,https://ekstrabladet.dk/nyheder/politik/danskpolitik/radikal-traekker-sig-i-protest/8836724
126,https://ekstrabladet.dk/forbrug/sundhed/eksperterne-garanterer-saadan-oeger-du-muskelmassen-med-2-kilo-paa-8-uger/6708778
127,https://ekstrabladet.dk/nyheder/krigogkatastrofer/manden-bag-vanviddet-her-er-wagner-gruppens-leder/9831945
